code,chushicaifu,gongzuonengli,jiankangtouzi,caichanbaoxian,jiedaijihui,touzi,fengxiantouzi,fumianchongji,maicaipiao,shengbing,shiye,biao
dot3hb5e,0,1,0,0,0,0,0,1,0,1,0,1
zca7zxyf,0,1,0,0,0,0,0,1,0,1,0,1
pr11yrv8,0,1,0,0,0,0,0,0,0,2,0,1
kibuds7n,0,1,0,0,0,0,0,0,0,1,0,1
6xnpwopr,0,0,0,0,0,0,0,1,0,0,0,1
3o1v9r1m,0,1,0,0,0,0,0,1,0,1,0,1
l3hb9yeg,0,0,0,0,0,0,0,0,0,1,0,1
idr031u6,0,2,1,1,1,1,1,0,0,3,0,1
h78j7j8m,0,2,1,1,1,1,0,0,0,2,0,1
qdpt3asx,0,0,0,0,0,0,0,1,0,1,0,1
jyf560kk,0,0,0,0,0,0,0,0,0,1,0,1
g91ye1x3,0,1,0,0,0,0,0,1,0,1,0,1
k1bp6zpx,0,1,0,0,0,0,0,2,0,1,0,1
0x4d1g7c,0,1,0,0,0,0,0,1,0,1,0,1
x6zxi4xg,0,1,0,0,0,0,0,1,0,1,0,1
czeeddwe,0,2,1,1,0,1,1,0,0,2,0,1
4hjk8ew7,0,1,0,0,0,0,0,0,0,1,0,1
fpeptlxo,0,2,1,1,1,1,1,0,0,2,0,1
awima2e6,0,1,0,0,0,0,0,3,0,1,0,1
qslltb0b,0,1,0,0,0,0,0,0,0,1,0,1
kesgwead,0,1,0,0,0,0,0,2,0,1,0,1
uefnt3zt,0,1,0,0,0,0,0,0,0,1,0,1
i3ugntg2,0,0,0,0,0,0,0,0,0,1,0,1
hk4udpqv,0,2,1,1,1,1,1,0,0,3,0,1
bdec0ba1,0,1,0,0,0,0,0,1,0,1,0,1
1o1f1gpp,0,1,0,0,0,0,0,2,0,0,0,1
jbfzncen,0,2,0,1,0,1,1,0,0,2,0,1
jj25twuw,0,1,0,0,0,0,0,0,0,1,0,1
gowws5qf,0,2,1,1,0,0,0,0,0,2,0,1
ubop1qmx,0,2,1,1,0,1,1,0,0,2,0,1
rfnis2ed,0,1,0,0,0,0,0,0,0,1,0,1
1csmmf08,0,1,0,0,0,0,0,2,0,1,0,1
tkz7zh9u,0,2,1,1,1,1,1,0,0,2,0,1
1gblxsq7,0,1,0,0,0,0,0,1,0,0,0,1
yofqpucq,0,1,0,0,0,0,0,1,0,1,0,1
96b2y1fq,0,1,0,0,0,0,0,1,0,1,0,1
6e0ikkw9,0,2,0,1,1,1,1,0,0,2,0,1
fh8ly4jj,0,2,0,1,0,1,1,0,0,1,0,1
g7uoijja,0,1,0,0,0,0,0,0,0,1,0,1
1gpsk1od,0,0,0,0,0,0,0,0,0,0,0,1
o7pqerl1,0,0,0,0,0,0,0,1,0,1,0,1
z668vjdm,0,1,0,0,0,0,0,1,0,1,0,1
itjzqni7,0,1,0,0,0,0,0,1,0,1,0,1
gxr64i8r,0,1,0,0,0,0,0,1,0,1,0,1
scbb77jn,0,2,0,1,1,1,1,0,0,1,0,1
tg2aszys,0,2,0,1,1,1,1,0,0,1,0,1
vywegvat,0,1,0,0,0,0,0,1,0,1,0,1
d6harnae,0,1,0,0,0,0,0,2,0,1,0,1
plvgf0eg,0,1,0,0,0,0,0,0,0,2,0,1
m3vk4d40,0,2,0,1,1,1,1,0,0,2,0,1
3c7rd5ya,0,2,0,1,1,1,1,0,0,1,0,1
a60k5i9w,0,2,0,1,0,1,1,0,0,2,0,1
zm1faos5,0,1,0,0,0,0,0,1,0,1,0,1
l50to787,0,1,0,0,0,0,0,0,0,1,0,1
idw6uw5h,0,1,0,0,0,0,0,1,0,0,0,1
5kipyxnx,0,1,0,0,0,0,0,1,0,1,0,1
92ybpwat,0,0,0,0,0,0,0,0,0,1,0,1
z4v1vnsp,0,2,1,0,0,0,0,3,0,1,0,1
kxq00qk5,0,2,0,1,1,1,1,0,0,1,0,1
zzpnlqei,0,0,0,0,0,0,0,1,0,1,0,1
519slsew,0,0,0,0,0,0,0,0,0,0,0,1
dxl7j2a8,0,2,1,0,0,0,0,1,0,1,0,1
kgm6ppuo,0,1,0,0,0,0,0,1,0,1,0,1
c7k2ws0c,0,1,0,0,0,0,0,0,0,1,0,1
5ie1bpu4,0,1,0,0,0,0,0,0,0,1,0,1
hksrzrsd,0,2,0,1,1,1,1,0,0,1,0,1
i6gy2wgj,0,2,1,1,1,1,1,0,0,2,0,1
h3fu78yg,0,1,0,0,0,0,0,0,0,1,0,1
z2rsp6um,0,1,0,0,0,0,0,2,0,0,0,1
8a4otv31,0,0,0,0,0,0,0,0,0,0,0,1
vnykm72k,0,1,0,0,0,0,0,1,0,1,0,1
n7vpemz2,0,2,1,1,1,0,1,0,0,2,0,1
jwexfmub,0,2,1,1,1,1,1,0,0,1,0,1
hhrookd2,0,2,1,1,0,1,1,0,0,2,0,1
apblb506,0,1,0,0,0,0,0,0,0,1,0,1
keqepf0m,0,1,0,0,0,0,0,0,0,1,0,1
4qo41x6y,0,1,0,0,0,0,0,1,0,0,0,1
nbmjj5a1,0,2,1,1,0,1,1,0,0,2,0,1
68araqh7,0,1,0,0,0,0,0,0,0,1,0,1
0jkf3488,0,1,0,0,0,0,0,0,0,1,0,1
4wv5tk4v,0,1,0,0,0,0,0,0,0,1,0,1
zyy7lwna,0,1,0,0,0,0,0,0,0,1,0,1
f6t1qroy,0,2,1,1,1,1,1,0,0,2,0,1
8s1edw15,0,2,1,1,1,1,1,0,0,2,0,1
w9vla1hv,0,2,1,1,1,1,1,0,0,2,0,1
4c16txm9,0,0,0,0,0,0,0,0,0,1,0,1
4de7ayta,0,1,0,0,0,0,0,1,0,1,0,1
hb9e1b5f,0,2,1,0,0,0,0,1,0,0,0,1
o73qrv2n,0,0,0,0,0,0,0,0,0,0,0,1
bysqs2ac,0,0,0,0,0,0,0,0,0,1,0,1
n9hxv5lk,0,0,0,0,0,0,0,1,0,0,0,1
my8o7lk6,0,0,0,0,0,0,0,0,0,0,0,1
pdtmhm69,0,2,1,1,0,1,1,0,0,1,0,1
0g7sv439,0,2,0,1,1,1,1,0,0,1,0,1
xxrcf92l,0,2,1,1,1,1,1,0,0,1,0,1
mykpue2n,0,1,0,0,0,0,0,1,0,0,0,1
3j49d97z,0,1,0,0,0,0,0,0,0,1,0,1
nn97tpch,0,2,1,1,1,1,1,0,0,1,0,1
0j3nkqts,0,2,1,1,1,1,1,0,0,1,0,1
u0fm0adl,0,2,1,1,1,1,1,0,0,1,0,1
1v3nqxwb,0,2,1,0,0,0,0,0,0,1,0,1
njz0vu08,0,2,0,1,0,1,1,0,0,1,0,1
dqtauj4v,0,2,1,1,1,1,1,0,0,2,0,1
mzj836b0,0,1,0,0,0,0,0,0,0,1,0,1
ssewy7zs,0,1,0,0,0,0,0,0,0,1,0,1
qctopukw,0,1,0,0,0,0,0,0,0,1,0,1
jwxxxv7d,0,1,0,0,0,0,0,2,0,0,0,1
cfdf5lmg,0,1,0,0,0,0,0,1,0,1,0,1
bieu6mpr,0,2,0,1,1,1,1,0,0,1,0,1
cdxl50hf,0,2,1,1,1,1,1,0,0,2,0,1
57n9cs6z,0,2,1,1,1,0,0,0,0,1,0,1
51cbn7o1,0,1,0,0,0,0,0,0,0,1,0,1
pva278uh,0,2,0,1,1,1,1,0,0,1,0,1
rjsd3agm,0,1,0,0,0,0,0,3,0,0,0,1
5zc86wny,0,2,1,1,0,1,1,0,0,1,0,1
5cs0wmvl,0,2,0,1,1,1,1,0,0,1,0,1
yaiqosbx,0,2,1,1,0,1,0,0,0,1,0,1
p7c86bd0,0,2,1,1,0,1,0,0,0,1,0,1
d67hp72e,0,2,1,1,1,1,1,0,0,0,0,1
lqy09jik,0,2,1,1,0,1,1,0,0,1,0,1
luq8s82b,0,2,1,1,1,1,1,0,0,1,0,1
v74p7xt0,0,2,1,1,0,1,1,0,0,1,0,1
s1ftoyto,0,1,0,0,0,0,0,0,0,1,0,1
y5lufa6m,0,1,0,0,0,0,0,2,0,0,0,1
2dxnce3p,0,2,1,1,1,1,1,0,0,1,0,1
26qqxpjj,0,2,1,1,1,1,1,0,0,2,0,1
g990zma5,0,2,1,1,1,1,1,0,0,1,0,1
4alcifnr,0,1,0,0,0,0,0,0,0,0,0,1
xp91b3qj,0,2,1,1,1,1,1,0,0,1,0,1
sqfmjhqp,0,1,0,0,0,0,0,1,0,0,0,1
074xligf,0,2,1,1,1,1,0,0,0,0,0,1
9t5yap6j,0,2,1,1,1,1,1,0,0,1,0,1
mdt16lqz,0,2,0,1,1,1,1,0,0,1,0,1
48l4ehb6,0,1,0,0,0,0,0,0,0,1,0,1
t5fns0sq,0,2,1,1,1,1,1,0,0,1,0,1
rv0au94i,0,0,0,0,0,0,0,2,0,0,0,1
8takecva,0,2,1,1,0,1,1,0,0,1,0,1
oiwrp35s,0,2,1,1,1,1,1,0,0,0,0,1
ktiz1h1g,0,1,0,0,0,0,0,1,0,0,0,1
8b7ikkdg,0,2,1,1,1,1,1,0,0,1,0,1
9iua8wlt,0,2,0,1,1,1,1,0,0,1,0,1
nq2n4d1a,0,1,0,0,0,0,0,0,0,0,0,1
n580gnmu,0,1,0,0,0,0,0,0,0,0,0,1
iuanzkch,0,1,0,0,0,0,0,1,0,0,0,1
1yemb6kz,0,2,1,1,1,1,1,0,0,1,0,1
jbz1y5sl,0,2,1,1,1,1,1,0,0,1,0,1
fkw475f4,0,2,1,1,1,1,1,0,0,1,0,1
8tid5gfd,0,2,1,1,1,1,1,0,0,0,0,1
387fhffi,0,2,1,1,0,0,0,0,0,0,0,1
ufku1mka,0,2,0,1,1,1,1,0,0,0,0,1
mh3nw2gr,0,2,1,1,1,1,1,0,0,1,0,1
m9hu5tku,0,2,1,1,0,1,1,0,0,0,0,1
26ovv9nz,0,2,1,1,1,1,1,0,0,1,0,1
7voc4ywi,0,2,1,1,1,1,1,0,0,1,0,1
7qaw85j9,0,2,2,1,1,1,1,0,0,2,0,1
lmp9ngf4,0,2,0,1,1,1,1,0,0,0,0,1
1eydd0jj,0,2,1,1,1,1,1,0,0,1,0,1
2be0jkh2,0,1,0,0,0,0,0,0,0,0,0,1
gfrptkuf,0,2,1,1,1,0,0,0,0,1,0,1
uabw3inx,0,1,0,0,0,0,0,0,0,0,0,1
wc6s9dsl,0,1,0,0,0,0,0,0,0,0,0,1
0005b37f,0,1,0,0,0,0,0,0,0,0,0,1
v3tqtmd8,0,2,1,1,0,1,1,0,0,0,0,1
jj2wn94h,0,2,1,1,1,1,1,0,0,0,0,1
q5n6k41z,0,2,1,1,1,1,1,0,0,1,0,1
5s59rl9r,0,2,1,1,0,1,1,0,0,1,0,1
4qopg1ub,0,2,1,1,1,1,1,0,0,1,0,1
fxz8rqvu,0,2,0,1,1,1,1,0,0,1,0,1
s270rho2,0,2,1,1,1,1,1,0,0,1,0,1
bptmjh3d,0,2,1,1,0,0,0,0,0,0,0,1
lcruc2lq,0,2,1,1,1,1,1,0,0,1,0,1
79qn2mgn,0,2,0,1,1,1,1,0,0,0,0,1
0tv4w4i5,0,2,1,1,1,1,1,0,0,1,0,1
8fqgkizh,0,2,1,1,1,1,1,0,0,1,0,1
tl39jvsk,0,2,1,1,1,1,1,0,0,1,0,1
lgomy8eq,0,2,0,1,1,1,1,0,0,0,0,1
7rmwik5s,0,1,0,0,0,0,0,0,0,0,0,1
z0rxrnnq,0,2,1,1,1,1,1,0,0,0,0,1
y7ezhr8w,0,2,1,1,0,1,1,0,0,1,0,1
ytgj1t65,0,2,1,1,1,1,0,0,0,1,0,1
v5p7lv20,0,2,1,1,1,1,1,0,0,1,0,1
u1m4seev,0,2,1,1,0,1,1,0,0,0,0,1
h7b871s6,0,2,1,1,1,1,1,0,0,0,0,1
11e94pe7,0,2,1,1,0,0,1,0,0,0,0,1
xe3765ql,0,2,2,1,1,1,1,0,0,1,0,1
9t4dpmrw,0,2,0,0,0,1,1,1,0,0,0,1
kpo7dpw7,0,2,2,1,0,1,1,0,0,0,0,1
0mrw3gqi,0,2,0,1,1,1,1,0,1,0,0,1
c3206739,0,0,0,0,0,0,0,1,0,3,1,2
uvakwdur,0,0,0,0,0,0,0,2,0,3,0,2
xluifzfl,0,0,0,0,0,0,0,1,0,2,1,2
42bbeqpm,0,0,0,0,0,0,0,3,0,2,1,2
zca7zxyf,0,0,0,0,0,0,0,3,0,2,1,2
idw6uw5h,0,1,0,0,0,0,0,3,0,3,0,2
b0je0mwr,0,0,0,0,0,0,0,3,0,3,0,2
0x4d1g7c,0,0,0,0,0,0,0,1,0,3,0,2
tkz7zh9u,0,0,0,0,0,0,0,0,0,2,1,2
t7uhl32a,0,0,0,0,0,0,0,1,0,3,0,2
4qo41x6y,0,0,0,0,0,0,0,0,0,2,1,2
wak4ycex,0,1,0,0,0,0,0,3,0,3,0,2
4c16txm9,0,0,0,0,0,0,0,1,0,3,0,2
xcoc0hf4,0,0,0,0,0,0,0,1,0,3,0,2
vedi2q2d,0,0,0,0,0,0,0,2,0,1,1,2
plvgf0eg,0,0,0,0,0,0,0,1,0,1,1,2
rjsd3agm,1,0,0,0,0,0,0,2,0,3,0,2
sqajrww1,0,0,0,0,0,0,0,1,0,3,0,2
j1e40ha7,0,0,0,0,0,0,0,1,0,2,1,2
hhrookd2,0,0,0,0,0,0,0,0,0,2,1,2
o6m81rh2,0,0,0,0,0,0,0,0,0,3,0,2
ttjy4cwz,0,1,0,0,0,0,0,1,0,3,0,2
g004gng8,0,0,0,0,0,0,0,2,0,2,0,2
0g7sv439,0,0,0,0,0,0,0,2,0,1,1,2
8s1edw15,1,0,0,0,0,0,0,3,0,0,1,2
qdpt3asx,0,0,0,0,0,0,0,2,0,1,1,2
fpeptlxo,0,2,0,0,0,0,0,2,0,3,0,2
otvnb5te,0,0,0,0,0,0,0,1,0,3,0,2
biqw1l36,0,0,0,0,0,0,0,1,0,2,0,2
4qopg1ub,1,0,0,0,0,0,0,0,0,1,1,2
my8o7lk6,0,0,0,0,0,0,0,1,0,2,0,2
8yww2xfk,0,0,0,0,0,0,0,1,0,1,1,2
79qn2mgn,1,0,0,0,0,0,0,0,0,1,1,2
kesgwead,0,2,0,0,0,0,0,1,0,3,0,2
n9hxv5lk,0,1,0,0,0,0,0,1,0,3,0,2
zyy7lwna,0,0,0,0,0,0,0,2,0,1,1,2
kibuds7n,0,1,0,0,0,0,0,2,0,3,0,2
a60k5i9w,0,1,0,0,0,0,0,0,0,3,0,2
v6of81mc,0,0,0,0,0,0,0,1,0,2,0,2
d6harnae,0,0,0,0,0,0,0,3,0,1,1,2
bieu6mpr,1,0,0,0,0,0,0,0,0,1,1,2
8cyh64c7,0,0,0,0,0,0,0,0,0,1,1,2
hf30noug,0,2,0,0,0,0,0,0,0,3,0,2
c1h7bw1a,0,0,0,0,0,0,0,1,0,1,1,2
68araqh7,0,0,0,0,0,0,0,1,0,1,1,2
g91ye1x3,0,2,0,0,0,0,0,3,0,2,0,2
y0q2jnsm,0,0,0,0,0,0,0,0,0,1,0,2
jwxxxv7d,1,2,0,1,1,1,0,0,0,3,0,2
g7uoijja,0,0,0,0,0,0,0,0,0,1,1,2
tzn75yhk,0,0,0,0,0,0,0,0,0,3,0,2
n26lbqa5,0,0,0,0,0,0,0,3,0,1,0,2
26ovv9nz,1,0,0,0,0,0,0,0,0,1,1,2
d39a3neo,0,0,0,0,0,0,0,2,0,1,0,2
qctopukw,1,1,0,1,1,1,1,0,0,3,0,2
lmp9ngf4,1,0,0,0,0,0,0,0,0,1,1,2
bdec0ba1,0,0,0,0,0,0,0,0,0,2,1,2
5ts6tpzo,0,1,0,0,0,0,0,0,0,3,0,2
6gir6eim,0,2,0,0,0,0,0,2,0,3,0,2
ot3r1xw1,0,0,0,0,0,0,0,2,0,2,0,2
jyf560kk,0,1,0,0,0,0,0,0,0,3,0,2
uabw3inx,1,0,1,0,1,1,1,0,0,2,0,2
jicuopmz,0,0,0,0,0,0,0,2,0,2,0,2
n1yognqv,0,1,0,0,0,0,0,1,0,3,0,2
o7pqerl1,0,0,0,0,0,0,0,3,0,1,0,2
1gpsk1od,0,0,0,0,0,0,0,1,0,1,1,2
ody1m92z,0,0,0,0,0,0,0,1,0,2,0,2
3zjizqly,0,1,0,0,0,0,0,2,0,2,0,2
ssewy7zs,1,2,1,1,1,1,1,0,0,3,0,2
2ygzmnz9,0,0,0,0,0,0,0,1,0,1,0,2
jj25twuw,0,2,0,0,0,0,0,3,0,2,0,2
t9m6tgki,0,0,0,0,0,0,0,0,0,1,0,2
1bfi45o2,0,2,0,0,0,0,0,1,0,3,0,2
x6zxi4xg,0,1,0,0,0,0,0,1,0,2,0,2
hk4udpqv,0,2,0,0,0,0,0,0,0,3,0,2
fkw475f4,1,1,1,1,1,1,1,0,0,3,0,2
fxz8rqvu,1,2,1,1,0,1,1,0,0,2,0,2
11qpbunz,0,1,0,0,0,0,0,3,0,1,0,2
0ff2742h,0,0,0,0,0,0,0,2,0,1,0,2
jbfzncen,0,0,0,0,0,0,0,2,0,0,1,2
1pxzy631,0,1,0,0,0,0,0,0,0,3,0,2
itjzqni7,0,1,0,0,0,0,0,1,0,2,0,2
0h6a0xq8,0,0,0,0,0,0,0,2,0,1,0,2
cfdf5lmg,1,2,0,1,1,1,1,0,0,2,0,2
h7b871s6,1,0,0,0,0,0,0,1,0,0,1,2
i6lqx8ts,0,0,0,0,0,0,0,0,0,2,0,2
bysqs2ac,0,0,0,0,0,0,0,0,0,2,0,2
i3wgnab9,0,2,0,0,0,0,0,0,0,3,0,2
z2rsp6um,0,1,0,0,0,0,0,2,0,1,0,2
z873r4vo,0,0,0,0,0,0,0,0,0,0,1,2
hogk0jl9,0,1,0,0,0,0,0,3,0,1,0,2
unioj1gy,0,1,0,0,0,0,0,2,0,2,0,2
d67hp72e,1,1,0,1,1,1,1,0,0,2,0,2
l3hb9yeg,0,0,0,0,0,0,0,1,0,1,0,2
51cbn7o1,1,1,0,1,1,1,1,0,0,2,0,2
zuqpu1wo,0,0,0,0,0,0,0,0,0,2,0,2
lrqw3xla,0,2,0,0,0,0,0,0,0,2,0,2
410e0tw2,0,1,0,0,0,0,0,0,0,2,0,2
3vpcaply,0,0,0,0,0,0,0,1,0,1,0,2
qyyocas4,0,0,0,0,0,0,0,0,0,1,0,2
dot3hb5e,0,0,0,0,0,0,0,2,0,1,0,2
11e94pe7,1,2,1,1,0,0,1,0,0,3,0,2
hb9e1b5f,0,0,0,0,0,0,0,0,0,1,0,2
y7ezhr8w,1,2,1,1,0,1,1,0,0,2,0,2
nxc2bm09,0,1,0,0,0,0,0,2,0,1,0,2
pva278uh,1,2,1,1,1,1,1,0,0,3,0,2
kpo7dpw7,1,2,2,1,1,1,1,0,0,2,0,2
ktiz1h1g,1,0,0,1,1,1,1,0,0,1,0,2
m0rj3925,0,0,0,0,0,0,0,1,0,1,0,2
6xnpwopr,0,0,0,0,0,0,0,3,0,1,0,2
3j49d97z,0,0,0,0,0,0,0,0,0,1,0,2
5zc86wny,1,2,1,1,0,1,1,0,0,3,0,2
y5lufa6m,1,0,0,1,0,1,1,0,0,1,0,2
mzj836b0,1,0,0,0,0,0,0,0,0,1,0,2
mykpue2n,0,1,1,0,0,0,0,1,0,2,0,2
0xxgoaz8,0,2,0,0,0,0,0,0,0,2,0,2
9t4dpmrw,1,0,0,0,0,0,0,1,0,0,1,2
t5fns0sq,1,1,1,1,0,1,1,0,0,1,0,2
8a4otv31,0,1,0,0,0,0,0,3,0,1,0,2
w9vla1hv,1,2,1,1,0,1,1,0,0,3,0,2
8nmazok9,0,1,0,0,0,0,0,2,0,1,0,2
3mrhtpe3,0,0,0,0,0,0,0,0,0,1,0,2
f6t1qroy,0,2,1,1,0,1,1,0,0,2,0,2
519slsew,0,0,0,0,0,0,0,0,0,2,0,2
t30mf55p,0,2,0,0,0,0,0,3,0,1,0,2
h78j7j8m,0,2,0,0,0,0,0,1,0,2,0,2
k93onftx,0,2,0,0,0,0,0,1,0,2,0,2
jj2wn94h,1,2,1,1,1,1,1,0,0,3,0,2
s270rho2,1,0,0,0,0,0,0,1,0,0,1,2
5kkr5060,0,0,0,0,0,0,0,0,0,1,0,2
9cikjguk,0,1,0,0,0,0,0,1,0,1,0,2
i3ugntg2,0,1,0,0,0,0,0,0,0,2,0,2
dz4i0852,0,1,0,0,0,0,0,1,0,1,0,2
